PERMNO,date,PRC,RET,SHROUT,RETX,sprtrn
18248,2020-03-11,10.49000,0.000840,44000,0.000840,-0.048868
18248,2020-03-12,10.29000,-0.019066,44000,-0.019066,-0.095113
18248,2020-03-13,10.28000,-0.000972,44000,-0.000972,0.092871
18248,2020-03-16,10.02000,-0.025292,44000,-0.025292,-0.119841
18248,2020-03-17,10.11000,0.008982,44000,0.008982,0.059955
18248,2020-03-18,10.03000,-0.007913,44000,-0.007913,-0.051831
18248,2020-03-19,9.91000,-0.011964,44000,-0.011964,0.004708
18248,2020-03-20,10.15000,0.024218,44000,0.024218,-0.043360
18248,2020-03-23,10.17000,0.001970,44000,0.001970,-0.029294
18248,2020-03-24,10.03000,-0.013766,44000,-0.013766,0.093828
18248,2020-03-25,10.12000,0.008973,44000,0.008973,0.011535
18248,2020-03-26,10.20000,0.007905,44000,0.007905,0.062414
18248,2020-03-27,10.22980,0.002922,44000,0.002922,-0.033687
18248,2020-03-30,10.24000,0.000997,44000,0.000997,0.033516
18248,2020-03-31,10.23000,-0.000977,44000,-0.000977,-0.016013
18248,2020-04-01,10.14000,-0.008798,44000,-0.008798,-0.044142
18248,2020-04-02,10.22000,0.007890,44000,0.007890,0.022829
18248,2020-04-03,10.15000,-0.006849,44000,-0.006849,-0.015137
18248,2020-04-06,10.14000,-0.000985,44000,-0.000985,0.070331
18248,2020-04-07,-10.18500,0.004438,44000,0.004438,-0.001603
18248,2020-04-08,10.20000,0.001473,44000,0.001473,0.034056
18248,2020-04-09,10.16000,-0.003922,44000,-0.003922,0.014487
18248,2020-04-13,-10.22000,0.005906,44000,0.005906,-0.010105
18248,2020-04-14,10.25000,0.002935,44000,0.002935,0.030573
18248,2020-04-15,10.22420,-0.002517,44000,-0.002517,-0.022030
18248,2020-04-16,-10.22000,-0.000411,44000,-0.000411,0.005817
18248,2020-04-17,-10.22500,0.000489,44000,0.000489,0.026794
18248,2020-04-20,10.23000,0.000489,44000,0.000489,-0.017881
18248,2020-04-21,-10.24500,0.001466,44000,0.001466,-0.030675
18248,2020-04-22,10.21000,-0.003416,44000,-0.003416,0.022930
18248,2020-04-23,10.41500,0.020078,44000,0.020078,-0.000539
18248,2020-04-24,-10.45000,0.003361,44000,0.003361,0.013918
18248,2020-04-27,10.35000,-0.009569,44000,-0.009569,0.014714
18248,2020-04-28,10.35000,0.000000,44000,0.000000,-0.005242
18248,2020-04-29,10.47000,0.011594,44000,0.011594,0.026584
18248,2020-04-30,10.47000,0.000000,44000,0.000000,-0.009212
18248,2020-05-01,10.47000,0.000000,44000,0.000000,-0.028059
18248,2020-05-04,10.30000,-0.016237,44000,-0.016237,0.004250
18248,2020-05-05,10.40000,0.009709,44000,0.009709,0.009041
18248,2020-05-06,-10.41500,0.001442,44000,0.001442,-0.006979
18248,2020-05-07,-10.43000,0.001440,44000,0.001440,0.011505
18248,2020-05-08,10.47000,0.003835,44000,0.003835,0.016872
18248,2020-05-11,10.47000,0.000000,44000,0.000000,0.000177
18248,2020-05-12,10.60000,0.012416,44000,0.012416,-0.020544
18248,2020-05-13,10.65000,0.004717,44000,0.004717,-0.017463
18248,2020-05-14,10.70000,0.004695,44000,0.004695,0.011525
18248,2020-05-15,10.73000,0.002804,44000,0.002804,0.003926
18248,2020-05-18,10.76500,0.003262,44000,0.003262,0.031501
18248,2020-05-19,10.75000,-0.001393,44000,-0.001393,-0.010484
18248,2020-05-20,10.71000,-0.003721,44000,-0.003721,0.016651
18248,2020-05-21,10.70000,-0.000934,44000,-0.000934,-0.007774
18248,2020-05-22,10.72000,0.001869,44000,0.001869,0.002354
18248,2020-05-26,10.76000,0.003731,44000,0.003731,0.012289
18248,2020-05-27,10.80000,0.003717,44000,0.003717,0.014827
18248,2020-05-28,10.76500,-0.003241,44000,-0.003241,-0.002108
18248,2020-05-29,10.72000,-0.004180,44000,-0.004180,0.004812
18248,2020-06-01,10.88000,0.014925,44000,0.014925,0.003751
18248,2020-06-02,10.90000,0.001838,44000,0.001838,0.008211
18248,2020-06-03,10.85000,-0.004587,44000,-0.004587,0.013649
18248,2020-06-04,10.90000,0.004608,44000,0.004608,-0.003369
18248,2020-06-05,12.75000,0.169725,44000,0.169725,0.026212
18248,2020-06-08,12.97000,0.017255,44000,0.017255,0.012042
18248,2020-06-09,13.30000,0.025443,44000,0.025443,-0.007799
18248,2020-06-10,14.25000,0.071429,44000,0.071429,-0.005313
18248,2020-06-11,13.95000,-0.021053,44000,-0.021053,-0.058944
18248,2020-06-12,13.99000,0.002867,44000,0.002867,0.013061
18248,2020-06-15,13.79000,-0.014296,44000,-0.014296,0.008312
18248,2020-06-16,13.90000,0.007977,44000,0.007977,0.018962
18248,2020-06-17,13.90000,0.000000,44000,0.000000,-0.003600
18248,2020-06-18,13.90000,0.000000,44000,0.000000,0.000594
18248,2020-06-19,13.81000,-0.006475,44000,-0.006475,-0.005649
18248,2020-06-22,14.07000,0.018827,44000,0.018827,0.006495
18248,2020-06-23,14.30000,0.016347,44000,0.016347,0.004307
18248,2020-06-24,14.30000,0.000000,44000,0.000000,-0.025855
18248,2020-06-25,13.82000,-0.033566,44000,-0.033566,0.010959
18248,2020-06-26,13.75000,-0.005065,44000,-0.005065,-0.024227
18248,2020-06-29,13.69000,-0.004364,44000,-0.004364,0.014686
18248,2020-06-30,13.70000,0.000730,44000,0.000730,0.015410
18248,2020-07-01,13.70000,0.000000,44000,0.000000,0.005022
